"","Df","SumOfSqs","R2","F","Pr(>F)"
"metadata_df$metadata",2,331716.229943636,0.362289954824666,3.40866471430655,0.004
"Residual",12,583893.561402011,0.637710045175334,NA,NA
"Total",14,915609.791345647,1,NA,NA
