"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"14040_256.156_4.017",3.85358509017761e-05,0.000117928555467929,4.48431949780896e-05,6.54132345151541e-05,0.000156074561085608,0.000110750772875812,7.07935295704393e-05,7.81662372421338e-06,7.92762708821257e-06,6.20928674322502e-06,3.82426019744923e-05,2.90024039320663e-06,0.000288078992000594,4.18309036138e-05,0.000208188030022089,8.68142628083492e-05
"21598_256.192_6.061",9.55250451944497e-05,0.000608032579240445,0.000146306442519101,0.000375466777362171,0.000458163217191661,0.000410240371533765,0.000133111432901263,4.07185009125347e-05,2.73597578359469e-05,5.23204512797299e-05,0.000200093659916831,1.06154021650558e-05,0.000920855398246364,0.000150254510938164,0.000789007962201232,0.000309598696569976
"1302_256.955_0.793",1.50498253809873e-07,1.98699814401993e-05,1.80073774375315e-06,9.73619708952166e-06,5.21574462212727e-07,4.47151232183993e-07,1.23627264102283e-05,8.61885832073551e-06,7.22829975187345e-07,9.1256890136591e-07,1.78501368210732e-05,4.19904747914569e-06,8.25736202550617e-05,3.58717033214448e-05,1.27844169574513e-05,2.28882655796648e-07
"21360_257.049_6.011",4.49868730409648e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,2.95156939645485e-05,2.40197250062909e-05,2.13451233623818e-06,5.32068196655499e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,7.0365985284778e-06
"17092_257.049_4.717",5.34247064288617e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,2.87791516178343e-05,2.3196182985893e-05,0.000776490738458904,0.00250549774191443,1.29706370456174e-05,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000832585785533661
"17556_257.049_4.853",8.82279304233791e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,3.57498309514831e-06,6.61837487409464e-07,5.25619079320405e-05,5.00188286496504e-05,3.3550159226589e-05,1.22277116402563e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,4.62334537665994e-05
"15696_257.049_4.376",9.62087536308857e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,6.97547144017363e-06,1.49306827765969e-06,1.54910989108825e-05,4.12023147911043e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.62682301035159e-05
"11824_257.049_3.591",2.13737431937964e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,2.80570950143881e-05,6.61837487409464e-07,1.297814260434e-06,1.03045798348077e-07,9.41072283515895e-05,0.00021680961198187,1.01442611739409e-05,2.42500071165424e-05,1.92333369420457e-06,2.75815627240278e-06,0.000104814393348554
"12340_257.049_3.642",5.25213509216125e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,2.06119648515867e-06,3.6935665856707e-05,6.61837487409464e-07,1.6007229836385e-06,5.93432239698464e-07,0.000382022685886606,0.000922069985144104,3.78607437054695e-05,2.82630366170515e-05,1.92333369420457e-06,2.75815627240278e-06,0.000453604901155124
"12846_257.049_3.764",9.67192419976014e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,7.00201959724825e-07,6.89422094102155e-07,8.86647768134285e-05,0.000175951801377472,7.95278909995775e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.00010475408797063
