"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"23832_860.594_8.581",18641.0075,0,0,0,0,0,0,8360.11675,24096.504,40103.9565,171653.4,102516.295,0,0,200393.985,17709.8185
"30446_860.631_10.357",0,3782.66845,0,2326.2322,1717.76075,0,0,19911.914,34675.4385,31335.4135,169821.67,89907.895,533.64,0,249069.765,26973.128
"43289_860.631_13.226",2073.11965,0,0,2118.87225,0,0,0,4461.43225,0,0,35828.273,9454.4395,0,0,447605.795,1864.1438
"31796_860.667_10.63",4230.3044,1570.07195,0,500.81335,0,0,0,50030.2735,57580.3735,807.4969,12852.726,7646.071,1850.53615,0,671001.325,11600.2057
"43216_861.133_13.215",0,0,0,2246.12353,0,0,0,800.0625,0,0,15839.3655,2338.5806,0,0,241548.97,1322.29905
"28567_861.477_9.8",127546.885,0,0,0,1617.634,4378.84175,2635.0432,252955.665,277265.88,0,0,0,0,0,3101.5642,15790.8595
"27974_861.477_9.658",85110.5825,0,0,0,3654.077,0,0,234500.475,237219.37,0,0,0,0,0,0,11964.4825
"35892_861.62_11.51",0,0,0,0,0,0,0,1434.873,0,15236.517,101334.788,28122.054,0,0,620530.32,12877.8989
"39753_861.639_12.432",0,0,0,0,0,0,0,2082.83215,0,62439.496,430139,157577.11,0,1010.3676,301429.065,15607.14
"39393_861.639_12.396",497.9181,0,0,0,0,0,0,2082.83215,0,52930.5355,179994.34,71219.505,0,482.67385,336452.265,8657.1755
"36047_862.122_11.501",0,0,0,0,0,0,0,0,0,12739.0245,75072.405,31293.997,0,0,466845.125,16298.11825
"39654_862.14_12.424",560.6787,0,0,0,0,0,0,0,0,65730.62,252184.315,140327.025,0,0,416890.91,11702.262
"39376_862.252_12.362",0,0,0,0,0,0,0,0,0,0,0,0,0,6260.59,0,0
"22023_862.574_8.137",0,0,0,0,0,0,0,0,0,312619.125,941659.25,683663.05,197.52585,0,450209.93,74296.848
"23026_862.61_8.383",170669.195,14634.214,214.57005,23907.8695,0,0,0,249659.615,235583.725,280539.965,1094185.85,690699.65,5631.53915,171.28485,1321184.75,187876.225
"29708_862.647_10.228",30073.8535,13939.845,6987.90285,10395.5415,12086.615,2723.9985,27134.226,28426.4425,57857.576,33645.296,125478.9125,55086.145,4942.67085,1718.0813,816614.45,57746.9315
