"","Df","SumOfSqs","R2","F","Pr(>F)"
"metadata_df$metadata",2,98305.822918816,0.288471834243096,2.43255444936234,0.005
"Residual",12,242475.533350349,0.711528165756904,NA,NA
"Total",14,340781.356269165,1,NA,NA
