"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"22846_291.161_6.453",70726.11,1613.7251,88,824.09576,76966.016,90569.6,20398.24,118792.09,52383.016,1273.5552,5506.7886,88,400.6881,88,547.51874,77782.42
"15779_291.161_4.392",7683.0176,88,88,88,23094.59,19704.467,2923.976,10121.168,7363.0957,1807.2174,2265.0989,88,88,88,88,12275.848
"31110_291.161_8.634",518521.7,6946.5264,15883.56,20586.139,20199.64,70039.91,14864.987,1134925.6,119402.66,32865.242,279184.7,2631.714,17025.514,3037.5322,8036.6426,311754.03
"31480_291.161_8.717",406880.38,8240.587,13835.562,11388.543,22494.082,46672.477,9959.354,344673.28,105558.17,11096.187,97887.03,6001.7026,11604.294,5609.1895,7425.915,129986.97
"19339_291.161_5.357",71184.62,3854.5042,1298.4233,2301.2114,166245.61,103239.125,41312.25,80336.65,48272.69,4650.3945,17040.266,88,716.79675,88,457.11774,113593.66
"18646_291.161_5.143",650690.25,22694.766,4773.4507,8941.302,686994.4,526144.1,128276.55,1032168.9,476256.22,4869.5664,16858.271,88,8878.497,204.88858,10485.958,531334.4
"17344_291.161_4.837",87964.75,1743.992,772.94403,1038.4154,171697.56,156834.58,22890.875,186549.62,102707.24,2895.1648,7227.75,88,1448.2383,88,1137.2139,74931.23
"26423_291.197_7.585",24842.498,88,88,88,73231.1,52563.23,5504.453,28278.629,20202.715,1526.1277,6397.7007,88,433.253,88,88,34951.76
"27598_291.197_7.834",55181.06,88,88,88,14507.118,17174.994,2172.944,184405.7,42050.78,13022.529,39696.32,88,88,88,88,39798.617
"27076_291.197_7.656",38382.773,88,88,88,14430.51,41904.785,4576.3896,48436.25,16394.387,2955.2727,10614.961,88,433.253,88,88,30319.777
"29596_291.197_8.297",102830.18,88,88,88,27730.828,16430.004,3192.6262,414559.44,95621.62,14255.123,16694.943,254.83618,550.2887,88,767.75305,68215.34
"27969_291.197_7.905",74109.53,88,88,88,34006.598,21159.03,2172.944,45313.414,32211.21,12019.962,25316.168,88,88,88,88,36990.246
"29949_291.197_8.344",106055.07,88,88,88,30305.396,32431.969,4532.165,166054.16,328887.53,7284.8394,47346.12,88,550.2887,88,873.46545,73942.375
"34895_292.132_9.58",88,25786.752,88,88,65355.113,3862.6614,88,88,88,88,88,88,88,88,88,74358.586
"2015_292.943_0.923",5418.0615,88,1351.8472,88,88,88,88,3864.5847,1285.686,6034.0293,4427.076,88,8692.247,6678.7607,88,88
"14421_293.031_4.084",74113.58,88,88,88,5880.7656,6991.2104,88,32563.906,58154.37,1702.4132,3193.2803,88,88,88,88,10376.769
"14880_293.047_4.186",88,88,88,88,88,340.24835,88,88,88,23863.998,10683.506,1082.5145,88,88,88,11533.768
"15598_293.048_4.343",88,88,88,88,88,88,88,88,88,20580.969,39065.555,767.08075,88,88,88,7840.6455
"15853_293.049_4.433",394.68103,88,88,88,88,88,88,88,88,18594.055,67274.96,767.08075,88,88,88,5729.552
"16654_293.049_4.552",88,88,88,88,88,88,88,625.9956,88,11097.742,31348.02,88,88,88,88,6523.3374
"17149_293.049_4.778",88,88,88,88,88,88,88,88,88,22576.477,115332.48,88,88,88,88,8591.998
"11126_293.067_3.421",10309.818,88,88,88,7743.4478,2338.9807,88,25010.07,20289.105,12653.326,7697.742,88,88,88,88,5343.406
"11963_293.088_3.576",88,88,88,88,33809.992,40465.19,29837.475,3013.5273,88,88,88,88,88,88,88,29747.553
"14966_293.103_4.183",5597.343,269.60178,88,88,4415.635,5217.733,1025.5486,11446.431,3202.5107,85380.945,196172.67,1748.1381,88,88,88,42058.2
"13502_293.103_3.906",14167.221,88,88,88,17957.85,25731.46,2306.7136,23798.795,7438.292,7435.3735,22396.432,88,88,88,88,19359.717
"20486_293.107_5.719",3595.1604,88,88,88,88,88,88,1075.1963,1291.275,48591.09,109491.33,88,88,88,88,7539.3706
"40846_293.123_10.975",7151.1133,88,325.04797,88,88,88,88,1201.7546,88,89099.08,548945.5,791.32324,88,88,764.80237,128053.42
"4555_293.125_1.725",4476.7163,88,88,88,88,88,88,22122.695,88,88,88,88,88,88,88,88
"24137_293.14_6.873",12347.707,88,88,88,3473.113,6446.3804,554.5635,16219.727,6162.865,6197.792,18715.555,88,9230.876,1115.4132,2356.2332,8570.271
"23436_293.14_6.631",23948.83,88,88,88,3530.7192,10233.279,88,18047.27,10143.848,6401.207,23009.453,88,13453.553,748.0204,2809.2737,13371.762
"21988_293.14_6.212",16887.58,494.7628,438.36517,88,11480.023,17862.904,1502.4606,17671.44,8037.5254,27447.57,97636.8,88,25240.086,3899.8596,7241.4595,16315.586
"22358_293.14_6.295",23614.55,494.7628,438.36517,169.00598,4869.6123,19641.193,710.2729,20999.785,13418.143,12734.394,48745.26,88,12665.55,970.1802,4587.941,16701.695
"21002_293.14_5.889",24917.242,1314.9844,1479.1808,1112.7992,10428.182,6673.3535,902.5886,18723.451,7964.415,74143.23,206686.31,1454.9109,88,88,88,40721.35
"22794_293.14_6.452",17721.85,690.9531,920.88446,524.0813,3574.9897,5266.1733,229.70245,17082.018,9753.65,10055.962,27024.125,88,5410.5195,773.39557,1495.4861,9278.657
"17246_293.14_4.789",22388.521,459.42975,88,88,67498.56,20573.438,17096.133,23890.281,19058.318,5336.282,19089.773,88,88,88,88,65561.37
"17525_293.14_4.843",20425.607,404.0713,88,88,28548.605,27474.242,5918.517,46377.895,21739.244,6648.3696,30393.055,88,88,88,88,30527.912
"14919_293.14_4.198",13838.256,88,88.287315,88,44861.61,34571.367,6595.576,7175.5874,7306.138,7240.5225,18801.94,88,88,88,88,22763.086
"15593_293.14_4.348",27144.46,1250.9022,556.80804,455.29272,63376.773,76252.25,20765.53,22097.39,19958.283,13294.974,8876.962,88,462.0279,88,88,53301.125
"16179_293.14_4.492",25149.893,324.6625,127.266594,88,62086.29,39822.43,12456.861,28245.176,17747.104,13090.938,18221.086,88,88,88,88,28796.701
"30242_293.143_8.405",56904.87,88,88,88,1657.0123,1335.7888,88,22785.244,21748.627,38634.855,102934.17,88,88,88,88,13281.982
"40611_293.143_10.971",171637.66,935.19147,88,88,5917.6724,2637.0415,88,5065.054,2853.9268,88,10696.318,88,88,88,88,1896.8137
"26722_293.143_7.595",46406.535,88,88,88,88,796.87366,88,41000.883,24668.918,92962.64,425911.6,338.51337,88,88,88,68238.125
"30786_293.143_8.52",83341.51,88,88,88,989.72986,1114.7872,88,83756.47,63614.89,10274.373,15329.148,88,88,88,88,17688.783
"25744_293.143_7.358",6385.0474,88,88,88,88,88,88,6001.9795,3735.0188,139110.4,576282,88,88,88,88,25953.541
"29872_293.176_8.325",43312.6,2024.6409,679.29846,2111.3652,13555.02,18667.781,2349.6638,22236.363,19621.168,5161.4033,30827.592,623.6482,2505.7717,683.3836,7493.0034,27230.5
