"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",2,379079.485430439,0.414018601606822,4.23923287744735,0.001
"Residual",12,536530.305915208,0.585981398393178,NA,NA
"Total",14,915609.791345647,1,NA,NA
