FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
25186,241.09,7.208,6.93E-06,3.02E-06,1.25E-06,0.000537369,0.000120459,2.43E-05,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,1.63E-05,6.62E-07,0.000531087
26246,241.09,7.529,8.84E-06,4.09E-06,5.62E-06,5.92E-05,0.000205224,3.19E-06,2.62E-05,1.92E-06,2.76E-06,2.38E-05,1.00E-05,1.06E-05,2.15E-05,7.97E-05,6.62E-07,6.59E-05
26704,241.09,7.567,7.76E-06,1.13E-06,1.03E-07,5.74E-05,0.000180365,3.76E-06,2.62E-05,2.72E-06,4.04E-06,2.38E-05,1.00E-05,1.06E-05,2.26E-05,0.000118676,7.57E-06,9.87E-05
16917,241.108,4.684,0.000442217,0.000306077,0.000361978,8.72E-06,1.45E-05,4.74E-06,2.84E-05,1.92E-06,4.99E-06,0.000167821,1.80E-05,2.05E-06,5.87E-05,6.93E-05,1.15E-05,0.000225892
16418,241.108,4.518,8.09E-05,3.35E-05,4.45E-05,1.03E-05,1.30E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,7.51E-05,7.63E-05,5.05E-06,6.43E-05
13548,241.108,3.924,6.02E-05,1.10E-05,4.48E-05,0.000100425,0.00019565,2.98E-07,1.13E-05,1.92E-06,2.76E-06,8.53E-05,1.47E-05,1.68E-05,0.000241316,0.000198988,2.72E-05,5.18E-05
12073,241.108,3.6,0.000113933,3.90E-05,4.56E-05,5.05E-05,8.55E-05,2.98E-07,2.97E-05,1.92E-06,2.76E-06,3.37E-05,1.37E-05,2.73E-06,0.000274581,0.000293112,8.90E-05,0.000147319
15064,241.108,4.235,8.89E-05,9.65E-05,0.000125531,3.40E-05,2.60E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,1.72E-05,7.50E-06,2.05E-06,3.80E-05,4.60E-05,1.59E-05,0.000146344
11143,241.108,3.41,8.40E-05,3.40E-05,0.0001126,2.65E-05,0.000109561,2.98E-07,3.82E-05,1.92E-06,2.76E-06,6.90E-05,3.14E-05,2.43E-05,0.000655306,0.000533767,0.000122664,0.000357872
9471,241.108,3.095,8.02E-05,3.31E-05,4.96E-05,4.73E-05,0.000163649,2.98E-07,2.53E-05,1.92E-06,2.76E-06,4.17E-05,3.47E-05,2.38E-05,0.000823389,0.000565248,8.54E-05,0.000115566
10181,241.108,3.253,9.32E-05,5.00E-05,2.68E-05,0.000224332,0.000260109,2.98E-07,1.33E-05,1.92E-06,2.76E-06,5.81E-05,2.74E-05,9.93E-06,0.000147812,0.000174757,6.16E-05,0.000120741
13060,241.108,3.817,0.0001752,4.81E-05,4.63E-05,2.30E-05,1.98E-05,2.98E-07,1.56E-05,1.92E-06,2.76E-06,5.19E-05,2.28E-05,1.02E-05,0.000229944,0.000170915,4.43E-05,0.000103492
14221,241.108,4.062,7.48E-05,1.74E-05,3.15E-05,2.62E-05,1.59E-05,2.98E-07,1.91E-05,1.92E-06,2.76E-06,2.48E-05,1.98E-05,1.02E-05,0.00023261,0.000210631,2.80E-05,8.41E-05
7577,241.119,2.736,2.89E-05,9.90E-06,1.04E-05,1.32E-06,2.54E-06,2.98E-07,9.81E-06,1.92E-06,2.76E-06,0.000425234,0.000125562,9.36E-05,1.46E-05,0.000100381,2.38E-06,3.77E-05
18093,241.123,4.993,1.21E-06,6.36E-07,7.23E-07,1.26E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.33E-05,0.000252246,0.000110864,4.95E-05
30204,241.145,8.435,0.000197065,0.000109329,6.78E-05,1.02E-05,2.05E-05,9.75E-07,4.31E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,9.42E-06,2.01E-05,2.22E-06,6.36E-05
30834,241.145,8.586,0.000297314,0.000156068,0.000126819,4.89E-05,0.000119549,1.10E-06,1.18E-05,1.92E-06,1.42E-05,4.09E-06,1.80E-06,2.05E-06,1.48E-05,2.94E-05,2.22E-06,0.00016119
24148,241.145,6.883,0.000317715,0.000192645,0.000119385,0.000106088,0.00017219,1.10E-05,0.000446453,0.000101165,0.000156117,0.000346347,0.000124714,9.86E-05,0.000191496,0.000312502,2.82E-05,0.000417959
21683,241.145,6.074,0.000167505,7.26E-05,5.49E-05,0.000117955,0.000252771,2.10E-06,6.01E-05,1.92E-06,4.57E-05,0.000129101,3.67E-05,5.39E-05,8.48E-05,9.08E-05,2.61E-05,0.000124684
26096,241.145,7.384,0.000316407,0.000161459,0.000132684,6.21E-05,0.000154811,6.51E-06,0.000119406,1.41E-05,9.66E-05,7.99E-05,2.97E-05,5.41E-05,0.000183808,0.000334694,1.50E-05,0.000274802
20324,241.145,5.671,6.06E-05,2.88E-05,2.57E-05,8.94E-05,7.61E-05,2.98E-07,5.41E-05,1.92E-06,2.35E-05,4.87E-05,7.31E-06,2.14E-05,0.00014052,0.000124294,2.98E-05,0.000122504
