featureIDs,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML,logFC,pvalue,logpval,Sample_Type,Molecule,Compound_Class
29339,1.16E-06,0.000136597,6.89E-05,0.000119451,2.15E-05,0.000398669,2.75E-05,0.000785679,0.000184836,0.000235976,0.00066296,0.000887202,0.000119635,0.000564609,0.000445074,1.61E-05,-1.326042478,0.067643154,1.169776151,Not Significant,,
24210,1.50E-07,0.000683329,0.007973107,0.015444415,9.43E-08,4.51E-05,2.51E-06,7.29E-06,2.76E-06,4.09E-06,1.80E-06,4.48E-06,2.13E-06,3.80E-05,6.45E-05,2.03E-06,7.129805954,0.180626699,0.743218055,Not Significant,,
28837,2.83E-06,3.09E-06,3.46E-06,1.12E-06,7.05E-06,1.30E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,1.83E-06,0.859025374,0.136957395,0.863414513,Not Significant,,
28293,3.46E-05,3.28E-06,9.00E-06,1.28E-06,2.42E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,2.75E-05,4.63E-05,2.38E-06,2.19E-05,-0.660155079,0.568516194,0.24525716,Not Significant,,
42744,0.000102761,3.00E-05,5.51E-05,8.84E-05,0.000497872,1.53E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07,5.768965452,0.145715554,0.836494089,Not Significant,,
22203,1.50E-07,6.15E-07,1.03E-07,2.73E-05,5.54E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.48E-05,2.66505001,0.218109468,0.661325481,Not Significant,,
4647,1.50E-07,8.99E-08,1.03E-07,1.02E-06,4.97E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07,-0.054852509,0.941738642,0.026069609,Not Significant,,
2025,0.000376434,0.000152369,0.00010759,0.000230359,0.000115179,1.05E-05,0.00567403,0.003043738,4.86E-05,0.000424316,0.001094759,0.000217262,1.61E-05,1.23E-05,1.65E-05,3.54E-05,1.868861623,0.27632116,0.558585857,Not Significant,,
2596,1.97E-05,0.000258079,1.16E-05,0.00019637,7.91E-05,2.94E-05,0.002368383,0.002756632,2.50E-05,7.07E-05,0.000435402,4.95E-05,5.22E-07,4.47E-07,1.21E-05,2.29E-07,2.751493415,0.180427648,0.743696911,Not Significant,,
3388,1.93E-05,0.000163475,3.48E-05,0.000218638,0.000351475,0.000136263,0.002368957,0.002172519,0.000149421,0.000548166,0.001499026,0.000406139,2.01E-05,1.52E-05,0.000138299,4.37E-06,0.51090671,0.640000907,0.193819411,Not Significant,,
3773,0.001010512,9.74E-05,0.000204796,0.000226289,0.000143396,0.00018521,0.001923274,0.001948784,0.000867622,0.001742649,0.004442078,0.00110567,8.16E-05,2.09E-05,0.000287528,2.04E-05,-0.802091507,0.483516206,0.315588965,Not Significant,,
4439,0.000206013,4.07E-06,6.56E-05,8.15E-05,4.19E-05,0.000697837,0.000978468,0.001142199,0.00187901,0.010479372,0.001192317,0.001331611,4.55E-05,2.60E-05,0.000456135,2.27E-06,-1.993617849,0.358058916,0.446045507,Not Significant,,
12991,6.63E-05,1.24E-05,5.37E-05,1.26E-07,1.27E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,7.50E-06,4.93E-06,6.62E-07,4.55E-05,2.162977641,0.192419953,0.715749896,Not Significant,,
4106,9.71E-06,3.25E-05,1.23E-05,1.61E-05,3.92E-05,3.52E-06,0.000364003,5.15E-05,1.03E-05,4.09E-06,5.09E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07,4.80460399,0.170826521,0.767444704,Not Significant,,
13244,4.41E-05,3.48E-06,1.82E-05,1.26E-07,1.14E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.87E-05,9.40E-06,6.62E-07,1.58E-05,0.437077504,0.706030982,0.151176241,Not Significant,,
12492,1.50E-07,8.99E-08,4.91E-07,1.83E-05,4.80E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,1.60E-05,2.375902304,0.246311209,0.608515823,Not Significant,,
8845,0.00018092,0.00010947,9.68E-05,5.35E-05,7.17E-05,9.79E-07,2.51E-06,1.92E-06,7.57E-05,4.09E-06,1.80E-06,2.05E-06,2.40E-05,1.78E-05,6.62E-07,8.64E-05,2.972730211,0.020666202,1.684739326,Significant in SMRW,,
14297,0.000473651,0.000307038,0.000266329,0.000107814,0.000143614,8.95E-07,2.15E-05,1.92E-06,6.01E-05,3.13E-05,1.80E-06,1.80E-05,0.000102819,0.00010521,6.40E-06,0.000327889,1.795752309,0.087884103,1.056089677,Not Significant,,
5824,0.000102748,7.10E-05,7.77E-05,1.19E-05,2.29E-05,2.98E-07,2.51E-06,1.92E-06,1.89E-05,4.09E-06,1.80E-06,2.05E-06,3.00E-06,4.47E-07,6.62E-07,3.61E-05,4.0997432,0.036316709,1.439893512,Significant in SMRW,,
18055,1.50E-07,8.99E-08,1.03E-07,8.60E-05,0.000236741,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,7.53E-05,4.525188115,0.224679417,0.648436713,Not Significant,,
16360,1.50E-07,8.99E-08,1.03E-07,0.000115302,0.00026915,2.97E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,1.86E-05,4.781911941,0.20743088,0.683126591,Not Significant,,
15217,2.31E-05,1.20E-05,8.10E-06,8.64E-06,1.27E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,0.000147725,0.000104577,4.80E-06,3.60E-05,-2.464553745,0.231543279,0.63536782,Not Significant,,
13596,3.13E-05,2.73E-05,1.99E-05,1.97E-05,1.48E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,8.09E-06,1.09E-05,2.05E-06,0.000224348,0.000154713,3.58E-05,0.00011476,-2.440073546,0.183447905,0.736487245,Not Significant,,
13064,4.08E-05,4.22E-05,3.26E-05,1.53E-05,5.27E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,1.51E-05,8.60E-06,2.05E-06,0.0007048,0.000335354,2.56E-05,0.000104537,-3.098970831,0.228789164,0.640564549,Not Significant,,
20111,2.25E-05,1.11E-06,2.38E-06,0.000210631,0.002008867,3.63E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.99E-06,4.47E-07,6.62E-07,0.00018375,7.09024822,0.292669244,0.533622914,Not Significant,,
21602,5.13E-06,1.15E-06,4.94E-07,9.22E-05,0.000368353,4.31E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,0.000217667,5.059728525,0.239589938,0.620531425,Not Significant,,
21900,1.24E-06,8.54E-07,2.95E-06,0.000191186,0.000636548,8.76E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,8.08E-05,5.872062186,0.232129164,0.634270293,Not Significant,,
22353,3.05E-05,3.36E-06,2.95E-06,2.07E-05,8.10E-05,1.21E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.65E-06,5.67E-06,6.62E-07,0.00018803,2.297535707,0.178410107,0.748580546,Not Significant,,
20885,6.44E-05,2.45E-05,1.61E-05,0.001072776,0.000802687,6.63E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.46E-05,2.36E-05,6.62E-07,0.000898872,4.828193658,0.158285901,0.800557766,Not Significant,,
20566,5.56E-06,2.19E-05,1.65E-05,0.000335735,0.001330425,5.01E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,0.000218109,6.90650533,0.232510953,0.633556583,Not Significant,,
19337,2.72E-05,1.86E-05,4.59E-06,7.61E-05,0.000498848,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,7.03E-06,3.60E-06,6.62E-07,6.44E-05,4.455265668,0.250549466,0.601106519,Not Significant,,
18871,4.20E-06,6.36E-07,1.03E-07,2.81E-05,0.000224863,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.85E-05,4.208338031,0.289733942,0.538000625,Not Significant,,
38915,8.79E-06,3.62E-06,2.98E-06,0.000309132,0.001007335,8.17E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,1.52E-05,6.62E-07,0.000111125,5.206495443,0.231076895,0.636243477,Not Significant,,
42032,5.47E-06,3.71E-06,1.42E-06,0.000214801,0.000533879,4.16E-06,9.38E-06,1.92E-06,2.65E-05,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.46E-06,6.62E-07,0.000156677,5.297291676,0.187323401,0.727407966,Not Significant,,
38045,2.08E-05,1.42E-05,9.80E-06,7.17E-05,0.002131037,4.20E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.61E-06,0.000166644,6.62E-07,0.00024652,3.090028079,0.376064557,0.424737595,Not Significant,,
40172,6.12E-06,9.33E-07,9.65E-07,0.00023417,0.002794223,1.83E-05,9.46E-05,1.92E-06,2.76E-06,4.09E-06,1.80E-06,7.25E-06,1.20E-05,0.000122742,6.62E-07,0.000391208,3.823253805,0.319764504,0.495169747,Not Significant,,
40822,2.46E-05,6.18E-06,2.91E-06,9.72E-05,0.000268704,4.92E-06,0.000117321,1.92E-06,0.000335635,4.09E-06,6.38E-06,2.05E-06,2.30E-05,6.53E-05,6.62E-07,0.001103985,2.497126632,0.102385903,0.989759837,Not Significant,,
36323,1.39E-05,4.28E-06,3.05E-06,0.000172531,0.000526781,9.67E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,2.31E-05,6.62E-07,0.000178391,3.914153017,0.234698223,0.629490199,Not Significant,,
35317,1.19E-05,3.97E-06,5.84E-06,0.000273916,0.000364723,6.41E-06,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,8.77E-06,6.62E-07,0.000100922,4.650129095,0.163250948,0.787144287,Not Significant,,
17962,3.77E-05,2.78E-05,3.20E-05,4.33E-05,3.73E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,0.000169877,0.00020324,1.64E-05,0.000114811,-1.683657858,0.29056773,0.536752619,Not Significant,,
15774,3.13E-05,2.56E-05,8.83E-06,3.22E-05,5.72E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,1.39E-05,7.07E-05,2.05E-06,0.000508872,0.000321793,0.000102504,0.00016804,-3.233716761,0.125647979,0.900844492,Not Significant,,
15513,9.75E-05,0.000170976,2.29E-05,2.29E-05,5.47E-05,2.98E-07,1.78E-05,1.92E-06,2.76E-06,2.94E-05,9.99E-05,2.05E-06,0.00037595,0.000321158,9.86E-05,8.34E-05,-1.827674097,0.147005889,0.832665268,Not Significant,,
16443,0.000116624,6.12E-05,5.18E-05,2.06E-05,6.21E-05,2.98E-07,4.70E-05,1.92E-06,4.21E-06,0.000141873,4.02E-05,4.42E-05,0.001210094,0.001030141,0.000325121,0.000370505,-3.517132066,0.102357721,0.989879391,Not Significant,,
14941,5.82E-05,9.36E-05,2.72E-05,0.000188013,0.000193526,1.10E-06,1.19E-05,1.92E-06,2.76E-06,5.11E-05,9.78E-05,7.02E-06,0.000755337,0.000585374,0.000273019,0.000309823,-2.198738633,0.128845642,0.889930265,Not Significant,,
42803,0.000200289,2.03E-06,6.46E-07,1.45E-06,3.09E-05,2.38E-06,3.41E-05,1.92E-06,2.76E-06,0.000435902,0.000185182,7.70E-05,4.67E-05,2.51E-05,1.77E-06,3.13E-06,-2.065767575,0.212167987,0.673320143,Not Significant,,
30361,0.000138087,4.36E-05,3.82E-05,6.56E-07,3.97E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,0.000158341,8.95E-05,4.14E-05,3.42E-05,2.76E-05,6.62E-07,4.95E-05,-1.185189118,0.265352508,0.576176803,Not Significant,,
28967,0.00010854,3.31E-05,2.96E-05,1.92E-06,1.03E-05,2.98E-07,1.36E-05,7.34E-06,2.76E-06,0.000192091,0.000103505,4.40E-05,2.64E-05,3.20E-05,6.62E-07,5.15E-05,-1.52729483,0.205735856,0.686690012,Not Significant,,
32882,1.55E-05,1.93E-06,4.08E-06,3.07E-05,0.000120278,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07,3.648028555,0.193574365,0.713152157,Not Significant,,
35155,0.000231975,7.20E-07,8.22E-07,2.32E-06,9.43E-08,2.98E-07,9.46E-06,1.92E-06,2.76E-06,0.000283491,0.000152247,7.25E-05,4.47E-05,5.29E-05,6.62E-07,8.74E-05,-1.861412475,0.169837081,0.769967482,Not Significant,,
