"featureIDs","A1.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","logFC","pvalue","logpval","Sample_Type"
24583,1.5e-08,1.43e-08,1.61e-08,3.41e-08,1.25e-08,1.67e-08,8.22e-05,3.63e-05,1.33e-08,5.04e-08,0.000607352,5.18e-08,2.71e-08,2.82e-08,3.1e-08,-2.94157148455644,0.425259214876317,0.371346266953308,"Not Significant"
6908,1.18e-05,1.86e-05,1.4e-05,3.73e-05,3.33e-05,2.86e-05,1.89e-07,3.32e-07,2.5e-06,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.89202110360149,0.00904630773843222,2.0435286424546,"Significant in SMRW"
19444,7.03e-05,8.67e-06,2.56e-05,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,6.74e-05,2.23e-07,1.96e-06,2.71e-08,2.82e-08,3.1e-08,0.00913283429502402,0.995799159515292,0.0018282446181258,"Not Significant"
20902,0.000201099,0.000103364,0.000319287,1.46e-06,1.25e-08,1.67e-08,1.8e-06,3.32e-07,1.33e-08,9e-05,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,2.21061364762287,0.219331882683268,0.658898233498118,"Not Significant"
23667,0.000233653,0.00022463,0.000212754,5.7e-05,0.000124013,2.7e-05,2.97e-05,5.26e-06,0.000140579,0.000228312,1.44e-05,0.000130635,0.000191794,0.000237938,0.000222143,-0.544217989523629,0.271680991300903,0.565940746793449,"Not Significant"
17418,1.5e-08,1.25e-06,1.61e-08,1.86e-05,2.74e-05,2.46e-05,1.89e-07,3.32e-07,6.45e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.79307393017727,0.0700711968096327,1.15446046473305,"Not Significant"
18076,8.24e-06,2.83e-05,1.7e-05,0.000214355,0.000188302,0.000192922,6.56e-06,8.04e-06,0.000359991,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,10.6956645299094,0.0295059316710764,1.53009066764694,"Significant in SMRW"
42531,2.94e-07,5.32e-07,1.61e-08,3.31e-06,1.99e-05,4.12e-06,1.89e-07,3.32e-07,0.000116142,5.04e-08,2.23e-07,1.29e-06,2.71e-08,2.82e-08,3.1e-08,5.87110127072319,0.247662820193902,0.606139185972016,"Not Significant"
23009,1.35e-06,1.43e-08,1.61e-08,6.67e-06,1.58e-05,1.16e-05,1.89e-07,3.32e-07,3.85e-06,2.08e-06,2.23e-07,5.17e-06,2.71e-08,2.82e-08,3.1e-08,1.8122568915236,0.162784134539007,0.788387925109752,"Not Significant"
34809,1.5e-08,1.43e-08,1.61e-08,1.65e-06,3.02e-06,9.67e-06,1.89e-07,3.32e-07,1.33e-08,4.62e-05,2.23e-07,4.77e-05,5.81e-06,2.82e-08,3.1e-08,-3.32955953431834,0.180354326458667,0.74387343507787,"Not Significant"
35682,1.5e-08,4.47e-05,6.65e-05,7.22e-05,1.25e-08,5.02e-07,1.62e-05,5.62e-05,1.33e-08,2.99e-06,3.92e-05,5.18e-08,1.47e-05,1.75e-06,3.58e-06,1.45646098923634,0.158692273593772,0.799444217651425,"Not Significant"
8619,1.5e-08,1.43e-08,1.61e-08,0.000123414,0.000197452,7.2e-05,1.89e-07,3.32e-07,8.87e-06,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.34820969791373,0.10007380110344,0.999679604093498,"Not Significant"
12978,0.000159281,0.000128874,0.000149203,3.41e-08,1.25e-08,6.42e-05,1.89e-07,3.32e-07,2.78e-06,0.000213115,8.78e-07,1.31e-05,2.71e-08,2.82e-08,3.68e-06,0.544231065895945,0.685495263772819,0.163995541493631,"Not Significant"
10868,8.94e-06,9.8e-06,2.94e-06,0.000109704,0.000124136,9.07e-05,8.11e-06,3.3e-06,0.000142752,4.62e-06,2.23e-07,3.57e-06,2.71e-08,2.82e-08,3.1e-08,5.29457955594079,0.0261097173307541,1.58319782991425,"Significant in SMRW"
7845,1.5e-08,1.43e-08,1.61e-08,0.000232372,0.000137466,0.000133388,1.89e-07,3.32e-07,2.43e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.74071973242122,0.0774115881210134,1.11119402277562,"Not Significant"
15380,1.5e-08,3.05e-06,9.45e-07,8.11e-05,8.95e-05,8.63e-05,4.04e-06,1.12e-06,0.000170993,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,9.46777060381316,0.045057502548562,1.34623288405997,"Significant in SMRW"
31345,2.2e-06,3.48e-05,6.33e-05,4.75e-05,7.13e-05,5.98e-05,1.89e-07,3.32e-07,0.000114983,1.42e-06,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.20579935355037,0.00991804995721853,2.00357370849805,"Significant in SMRW"
33183,8.82e-05,0.00035042,0.000622794,6.87e-05,0.000140948,8.81e-05,1.53e-05,3.32e-07,0.000544753,8.65e-05,2.15e-06,1.35e-05,1.04e-05,9.85e-06,8.51e-06,3.28915617249179,0.0403010160206692,1.39468400481155,"Significant in SMRW"
